,age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,last name,first_Name,range_age,Month_number,categorizes_geo
814,47,"2091 lowell road ave.\nwest oral, dc 18135-7823",technician,married,secondary,False,-75,True,False,cellular,4,feb,57,1,247,1,other,False,lubowitz,wilmer,4,2,nan
819,27,"21107 k3rluk3 3xpr3ssway\n3ast maryjan3, ap 12588",services,married,secondary,False,58,True,False,cellular,7,may,113,1,337,2,other,False,mante,bernice,2,5,nan
821,31,"56961 d0yl3 3xt3nsi0ns\nlak3 kal3y, ny 78560-1453",management,single,tertiary,False,112,True,False,cellular,2,feb,159,2,271,1,failure,False,keebler,jocelyn,3,2,nan
822,40,"0732 jacobs mountain \nlake ayden, or 26529-7017",self-employed,married,tertiary,False,13669,False,False,cellular,15,oct,138,1,136,8,other,False,rohan,loma,4,10,water
823,43,"688alexandreamountst.\nwesttimmyton,nv93831",management,married,tertiary,False,1429,True,False,cellular,19,nov,1015,1,198,2,other,True,leannon,elijah,4,11,nan
828,47,"40347 jackeline point\nheathcotestad, az 00082-3778",unemployed,married,primary,False,168,True,False,telephone,30,jan,66,1,241,1,other,False,reynolds,hannah,4,1,nan
837,39,"9622 erdman highway \nnew richard, il 83563-2854",services,single,secondary,False,7066,True,False,cellular,15,may,667,3,357,3,other,True,bogisich,alaina,3,5,nan
843,59,"784parisianviews\nnorthasiaburgh,ut14150",management,single,secondary,False,671,True,True,cellular,29,jan,219,2,259,5,failure,False,hayes,joanne,5,1,nan
849,55,"584 ken hollow st.\nport janelle, pa 53950",housemaid,divorced,primary,False,976,False,False,cellular,28,jun,345,1,94,3,other,True,jerde,brock,5,6,nan
855,46,"9525 alaina mountain ave.\nalessandrastad, md 49107-5782",management,divorced,tertiary,False,624,False,False,cellular,17,sep,336,2,183,2,success,True,rosenbaum,irma,4,9,nan
857,36,"044strosinstreetsuite779\nlakerosettafort,nc84407",blue-collar,married,secondary,False,-461,False,False,cellular,11,may,254,2,353,1,failure,False,schaefer,margaretta,3,5,water
858,34,"26878rogersways\ncartwrightville,wa53054-6308",technician,single,tertiary,False,144,True,True,cellular,14,oct,104,1,85,19,failure,False,volkman,kacey,3,10,nan
869,56,"91301 stamm courts\narielfort, pr 48758-9837",technician,married,secondary,False,150,True,True,cellular,11,may,102,6,349,1,failure,False,gibson,jacques,5,5,nan
874,38,"668katrinelightst.\nromaguerabury,ar34535",management,single,tertiary,False,15030,True,False,cellular,13,may,167,1,174,7,other,False,dickens,ashlynn,3,5,nan
880,26,"5460 waters lakes suite 323\ngoldenchester, gu 73687-4582",admin.,single,secondary,False,255,False,False,cellular,30,apr,457,1,80,1,success,True,prohaska,karolann,2,4,water
881,31,"183 hamill hills \nlake reva, mi 13097-2081",technician,single,secondary,False,102,True,False,telephone,17,apr,460,2,345,2,failure,False,pfeffer,lonny,3,4,water
883,45,"2188d3lm3rp0rtsuit3329\nim0g3n3vill3,dc73395",entrepreneur,married,primary,False,58,True,False,telephone,13,may,119,3,371,3,failure,False,mitchell,nayeli,4,5,nan
891,28,"8898monahanharborssuite873\nlakebrodyfort,tn92419",management,single,tertiary,False,882,False,True,cellular,29,jan,94,1,205,2,failure,False,denesik,dannie,2,1,water
892,27,"313 bednar radial st.\nsouth enolafurt, il 47202-4769",student,single,tertiary,False,5291,False,False,cellular,12,nov,192,2,92,2,failure,True,streich,marcelino,2,11,nan
893,49,"9000j03sphvi3wsapt.903\nwis0zkm0uth,wi58123-0794",management,single,secondary,False,61,True,False,cellular,29,jan,185,2,246,1,failure,False,schmidt,lexie,4,1,nan
901,30,"8278 natalia walk ave.\neast stephon, il 77078",technician,single,tertiary,False,3,True,False,cellular,6,may,45,2,169,2,failure,False,waelchi,mozell,3,5,nan
903,34,"4883 bechtelar grove ave.\nnorth gillian, vt 81382-8168",admin.,married,tertiary,False,35,True,False,cellular,15,oct,76,1,69,2,failure,False,towne,malika,3,10,nan
906,31,"4127 gulg0wski cap3 av3.\nkurtt0wn, m3 69717-3113",blue-collar,married,primary,False,99,True,False,cellular,17,apr,193,2,322,1,other,False,king,timmy,3,4,nan
913,41,"3353 mortimer path apt. 093\nerdmanview, aa 61660",management,married,tertiary,False,-29,False,False,cellular,29,jan,41,2,266,2,failure,False,leffler,jettie,4,1,nan
926,38,"7469n0v3llaf0rkav3.\ns0uthsylvan,gu28367",admin.,married,primary,False,3913,True,False,cellular,20,apr,196,2,315,2,failure,False,jewess,waino,3,4,nan
941,34,"1229c0rd3llstrav3nu3av3.\nwa3lchib0r0ugh,sd34269-2112",management,married,tertiary,False,0,True,False,cellular,7,aug,262,1,99,2,success,True,sipes,candido,3,8,nan
942,36,"3209gl0v3rl0dg3av3.\nlak3k3nn3thb3rg,mn36751-2519",management,married,tertiary,False,222,True,False,cellular,6,may,317,1,169,2,failure,False,homenick,lorenzo,3,5,nan
956,27,"230marvinshoresapt.916\nosinskishire,mp71664",unemployed,single,secondary,False,3276,False,False,cellular,5,aug,106,1,110,2,other,False,yundt,jordon,2,8,nan
960,52,"92230 kaycee walk\nnew mortimer, aa 29298",technician,married,secondary,False,196,True,True,cellular,24,feb,116,1,273,3,failure,False,labadie,ladarius,5,2,nan
967,35,"452gislas0nradialsuit3668\nlak3j0nath0n,n311480-1298",blue-collar,married,secondary,False,6411,True,True,cellular,30,jan,144,1,266,2,failure,False,mraz,marcella,3,1,nan
970,58,"3477 virginie ports apt. 731\nsouth ernestview, ap 32074-6123",self-employed,married,primary,False,1013,True,False,cellular,11,aug,206,1,461,1,failure,True,hand,lamar,5,8,nan
973,37,"9525 t0ni pass av3.\nn3w karl3y, ms 62235",technician,single,secondary,False,5436,True,False,cellular,6,may,7,11,351,1,failure,False,wolff,delpha,3,5,nan
984,59,"6583 wilderman oval ave.\nschultzmouth, dc 77976-8003",self-employed,married,tertiary,False,2013,False,False,cellular,19,feb,222,4,94,2,success,True,nolan,eladio,5,2,nan
997,34,"011c0rd3lltrafficwayst.\n3astd3m3trisvi3w,id36846",management,single,tertiary,False,673,True,True,cellular,20,nov,271,1,184,1,failure,False,streich,zoie,3,11,nan
999,20,"509forrestcrossingapt.292\ndwightchester,ne29630",student,single,secondary,False,291,False,False,telephone,11,may,172,5,371,5,failure,False,moore,akeem,2,5,nan
1020,42,"5380 0b3rbrunn3r vall3ys suit3 594\nr0s3nbaumsid3, nc 59105",technician,married,secondary,False,994,True,False,cellular,11,aug,149,1,78,5,failure,True,robel,carley,4,8,nan
1030,38,"2231 vance wall ave.\nlake malloryhaven, mh 12544-0774",management,married,tertiary,False,-70,True,False,cellular,30,jan,140,1,2,3,other,False,dach,immanuel,3,1,water
1040,55,"77693 pi3tr0 w3ll\nkarli3vi3w, wi 21244",blue-collar,divorced,secondary,False,1613,True,False,cellular,3,apr,296,1,270,3,failure,True,wisoky,delpha,5,4,nan
1042,30,"1465 k3shawn light apt. 358\nfranc3scap0rt, al 76536",admin.,single,secondary,False,81,True,False,cellular,6,aug,121,6,112,3,other,False,koepp,dorcas,3,8,nan
1048,34,"4362 gusik0wski cr0ssr0ad av3.\nkshl3rinm0uth, ms 86493-2520",services,married,secondary,False,1337,False,False,cellular,17,dec,330,2,127,3,success,True,quigley,andy,3,12,nan
1056,63,"3285tedjunctionapt.856\nnewalbertafurt,ut24289-4622",entrepreneur,married,secondary,False,3904,False,False,telephone,4,aug,250,2,187,2,success,True,runolfsdottir,geoffrey,6,8,nan
1060,48,"27578 cr3min hav3n\nn0rth m3ghan, wy 35789-6670",management,married,tertiary,False,1147,False,False,cellular,5,aug,389,1,64,2,success,True,gerhold,kathryn,4,8,nan
1069,45,"036 herzog vista st.\nwest alisonside, mi 37852-3449",technician,single,unknown,False,7108,True,True,cellular,18,nov,53,1,172,3,failure,False,block,michel,4,11,nan
1071,38,"076hamillland\nkristofferport,ar50536",blue-collar,married,secondary,False,0,True,False,cellular,13,may,57,5,349,1,other,False,rutherford,rogers,3,5,nan
1073,30,"75719faypoint\nwestgreysonbury,ap12443-3569",management,single,tertiary,False,726,True,False,cellular,16,apr,39,1,342,3,failure,False,lakin,kyle,3,4,nan
1076,54,"905 freeman mountains st.\nsouth hoseaberg, nv 28541-3365",unknown,married,secondary,False,2206,False,False,cellular,12,nov,104,1,99,2,other,True,hirthe,juliana,5,11,nan
1077,38,"714 schmeler club suite 961\nbeaulahstad, mh 52455",admin.,married,tertiary,False,1988,False,False,cellular,27,mar,164,2,130,2,failure,True,howe,joe,3,3,nan
1083,64,"092wileyplazaapt.882\nnorthalenaberg,md09705-4103",housemaid,married,primary,False,768,False,False,cellular,15,jul,250,2,182,1,success,False,botsford,octavia,6,7,nan
1096,46,"9816dachspursuite906\nnapoleonchester,nv10764-2498",technician,married,tertiary,False,217,True,False,cellular,14,may,141,1,346,2,other,False,leannon,stanton,4,5,nan
1097,45,"8773 jakubowski lights ave.\nstewartmouth, mt 25803-9845",management,divorced,tertiary,False,2096,False,False,cellular,21,nov,127,1,100,2,failure,False,hackett,madyson,4,11,nan
1100,59,"20634 destiney lodge\neast maxwell, ca 80218",management,married,tertiary,False,1831,False,False,cellular,17,feb,122,1,92,1,failure,False,hane,michel,5,2,nan
1104,37,"512 stanford park st.\nport heloise, me 69540-7632",blue-collar,single,primary,False,851,True,False,cellular,15,may,151,1,352,1,failure,False,bergstrom,luis,3,5,nan
1106,35,"4726 russel plaza apt. 602\nschambergerburgh, me 08355",blue-collar,married,secondary,False,137,False,True,unknown,4,oct,5,1,808,12,failure,False,smith,kara,3,10,nan
1108,43,"61052 karl3y c0urs3\nc0rn3liusbury, pa 40219-7355",management,single,tertiary,False,146,False,False,cellular,21,nov,50,1,113,5,other,False,bins,reid,4,11,nan
1109,59,"3993 keebler brooks ave.\nwest jaidentown, ak 22866",technician,married,secondary,False,1,False,False,cellular,15,apr,159,2,378,3,failure,True,krajcik,eveline,5,4,nan
1111,37,"974 stokes key suite 929\nwest mustafatown, gu 61724",technician,married,secondary,False,480,False,False,cellular,22,oct,344,2,182,8,other,True,brown,elise,3,10,nan
1112,35,"6912 bechtelar shores ave.\nhodkiewiczmouth, co 13678",technician,married,secondary,False,2789,True,False,cellular,4,sep,256,2,94,1,failure,False,klocko,emmalee,3,9,nan
1117,42,"6275 scarlett drive apt. 521\nnew karianneland, fl 91945-3267",technician,single,tertiary,False,-411,True,False,cellular,12,may,78,5,292,3,failure,False,rau,jamal,4,5,nan
1122,32,"564urbancampst.\njerdehaven,az51806",technician,married,tertiary,False,4089,False,False,cellular,26,may,114,7,287,3,failure,False,osinski,rosalind,3,5,nan
1124,37,"432 h3ct0r tunn3l suit3 161\n0rtizt0wn, ks 19738",technician,married,unknown,False,189,False,False,cellular,1,oct,238,1,107,2,success,True,lowe,julia,3,10,nan
1129,36,"6534 sti3d3mann rapid av3.\nh3tti3vill3, in 96793",management,single,tertiary,False,243,True,False,cellular,7,may,160,2,360,3,failure,False,gleason,meda,3,5,nan
1136,36,"97121j3nni3light\nlak33dgar,mh07618-4237",services,single,secondary,False,1482,True,False,cellular,18,nov,177,2,174,1,other,False,heaney,else,3,11,nan
1154,47,"0424 emerson gateway suite 862\nwest howardmouth, ks 80374",admin.,married,secondary,False,1934,False,True,cellular,14,may,225,1,364,1,failure,False,huels,marcelo,4,5,nan
1159,31,"8426 nicolas plains ave.\nwest geo, de 48466-8985",management,single,tertiary,False,62,True,False,cellular,18,may,175,1,293,5,failure,False,hagenes,kaylie,3,5,flat
1163,35,"538h0m3nickvall3ysuit3549\nn0rthcic3r0,al34109",unemployed,married,secondary,False,977,True,False,cellular,4,may,52,4,91,1,other,False,price,juwan,3,5,nan
1166,32,"871 antwon islands suite 086\nbraunside, az 36122",technician,single,tertiary,False,5514,False,False,cellular,22,apr,319,1,182,1,success,True,weissnat,rebecca,3,4,nan
1167,33,"167 walsh hollow st.\no'haratown, gu 91212",blue-collar,married,secondary,False,889,True,False,unknown,18,sep,13,1,373,6,success,False,mohr,raina,3,9,nan
1173,34,"281 hamill manor \nlake danamouth, mp 77468-1485",technician,single,secondary,False,2729,True,False,cellular,6,apr,945,1,139,1,success,False,denesik,mathew,3,4,water
1176,50,"8619 deckow port apt. 972\nnorth verla, md 95503",management,married,tertiary,False,-470,True,False,cellular,8,may,506,2,170,3,failure,False,wilkinson,yvonne,5,5,nan
1181,34,"81593jar0dfalls\nh0m3nickshir3,mi98627-2991",services,married,secondary,False,1076,False,False,cellular,12,may,152,1,182,6,success,True,hessel,karli,3,5,nan
1186,71,"9057 dubuque cliffs ave.\nwest ted, mp 02850",technician,married,tertiary,False,383,False,False,cellular,27,oct,327,2,183,3,success,False,rempel,clay,7,10,nan
1193,33,"8052boganramp\nportjoesph,az61291-3012",blue-collar,single,secondary,False,706,True,False,cellular,7,apr,329,1,322,1,failure,False,kuhlman,camren,3,4,nan
1194,36,"8119 lambert corner apt. 523\nabbeyfort, aa 74617",management,married,secondary,False,1825,True,False,cellular,14,may,24,1,346,1,failure,False,bosco,rhianna,3,5,nan
1195,59,"8506halli3passapt.359\nc0dyshir3,va71368-3802",self-employed,married,tertiary,False,185,False,False,cellular,22,jun,177,5,138,1,failure,False,rice,buddy,5,6,nan
1205,39,"3853 jude terrace apt. 160\nconsidinetown, pr 45694-5096",blue-collar,married,unknown,False,0,False,False,cellular,2,feb,731,1,193,3,failure,False,mohr,assunta,3,2,nan
1209,58,"931 huels circles st.\nwilkinsonville, al 59013",retired,single,secondary,False,1640,False,True,cellular,4,feb,72,6,274,4,failure,False,gerhold,daryl,5,2,nan
1210,60,"8822 harris flat suite 204\ngreenfelderhaven, dc 30631-1386",admin.,divorced,secondary,False,174,True,False,cellular,15,may,241,1,364,1,failure,False,keebler,wilson,6,5,nan
1212,36,"060 n0rw00d 0rchard suit3 562\n3arn3stin3p0rt, m0 15603-0900",management,single,tertiary,False,490,False,False,cellular,28,aug,207,8,98,1,failure,True,heller,jerrell,3,8,nan
1216,29,"912schummskywayst.\nsouthbonnieport,ae63460-6433",management,single,tertiary,False,15459,False,False,cellular,26,may,245,3,97,7,success,False,ortiz,morton,2,5,nan
1223,49,"5568 jacobi valley \nnorth paxtonchester, il 69465",management,divorced,tertiary,False,2370,True,True,unknown,17,nov,56,1,103,2,other,False,kulas,roxane,4,11,nan
1225,51,"178arvidknoll\nnewlorenberg,ak41706-7861",blue-collar,married,secondary,False,160,True,False,cellular,7,may,136,1,359,1,failure,False,sawayn,noemi,5,5,nan
1226,32,"081 jacobs mill st.\nrueckerview, ks 15180-2686",admin.,divorced,secondary,True,5,True,True,cellular,18,may,82,3,363,2,other,False,mitchell,keira,3,5,nan
1240,27,"8058gaylehollowave.\nboehmton,ms11690-0807",services,married,secondary,False,54,True,False,cellular,18,may,97,1,370,1,failure,False,ward,mack,2,5,nan
1242,35,"048 richmond trafficway st.\nsouth adriel, ca 92826",blue-collar,married,primary,False,298,True,False,cellular,13,may,135,2,370,2,failure,False,quitzon,hayden,3,5,nan
1262,43,"61981 b0gan lak3\nn0rth rafa3l, nh 26307-7378",blue-collar,married,primary,False,-98,True,True,cellular,12,may,112,2,330,3,other,False,jacobson,robin,4,5,nan
1275,41,"1040f3liciadriv3apt.121\nn3wb3ssi3furt,vt20890",blue-collar,married,secondary,False,-217,True,False,cellular,11,may,313,1,349,3,other,False,halvorson,jaquan,4,5,nan
1276,41,"48711 mraz square\nnorth kirstinberg, nm 67212-1735",management,divorced,tertiary,False,5037,False,False,cellular,23,apr,252,9,185,5,other,True,mante,salvatore,4,4,nan
1279,32,"8939 kiara gard3ns av3.\ncr00ksbury, sc 57317",management,married,tertiary,False,913,True,False,cellular,23,jun,883,1,674,4,failure,False,pouros,hoyt,3,6,nan
1303,42,"80914 bertram mall\nferrytown, co 92463",management,married,unknown,False,1519,False,False,cellular,19,oct,230,1,92,1,success,True,haley,maria,4,10,nan
1309,31,"4522 schmitt parks \njonasside, ae 32100-1092",management,married,secondary,False,625,True,False,cellular,7,apr,424,1,138,1,failure,False,anderson,kattie,3,4,nan
1311,51,"106 walsh island st.\neast susana, co 32576-9600",services,married,secondary,False,867,True,False,cellular,3,feb,177,2,211,3,failure,False,mante,camila,5,2,nan
1312,80,"7462 luci3 club av3.\n3ast cyrilm0uth, ma 61863",retired,married,secondary,False,8304,False,False,telephone,9,jun,712,1,64,12,failure,True,bernier,gabrielle,8,6,nan
1320,48,"13842jakubowskiheights\neastorloshire,nv62920",management,married,tertiary,False,60,False,False,telephone,7,may,376,2,339,7,failure,False,nicolas,nicola,4,5,nan
1323,46,"1510 aliya island suite 481\ncummeratachester, dc 99587-6109",blue-collar,married,primary,False,91,True,False,cellular,6,may,29,1,356,2,failure,False,hauck,josh,4,5,nan
1324,41,"168 xander villages st.\nsouth bertrandton, or 33898",entrepreneur,married,tertiary,False,171,True,False,cellular,19,nov,209,1,191,4,failure,False,gislason,leonie,4,11,nan
1327,33,"1224 hazle corners apt. 196\nsouth ruth, pa 46143-4071",blue-collar,divorced,primary,False,142,True,False,telephone,11,may,41,2,300,5,failure,False,greenholt,jeanne,3,5,nan
1337,40,"7050 3lm0 vista \n3ast d3lb3rt, mp 35215-1238",management,single,tertiary,False,1509,False,False,cellular,15,mar,144,2,124,1,failure,False,stanton,mustafa,4,3,nan
1342,27,"608carm3nramp\nhip0lit0furt,aa78873",admin.,married,secondary,False,710,True,True,cellular,6,may,653,1,334,2,success,True,yundt,finn,2,5,nan
1343,47,"10237gislasonbridge\nwestleopoldtown,aa73280-2107",technician,married,secondary,False,1233,True,False,unknown,11,sep,91,1,100,2,other,True,abbott,jaleel,4,9,nan
1345,40,"39657 gudrun fields\ncristview, gu 53647",management,divorced,tertiary,False,69,True,False,cellular,6,may,503,2,280,2,failure,False,schneider,duncan,4,5,nan
1346,34,"388 b3rni3 ridg3 apt. 826\nchamplinvi3w, mt 50167-3093",admin.,married,secondary,False,1499,True,False,cellular,13,apr,186,1,327,2,failure,False,breitenberg,gennaro,3,4,nan
1349,83,"440 h3id3nr3ich r3st st.\nn0rth 3liza, vt 12763-6017",retired,married,primary,False,425,False,False,telephone,22,jun,883,1,140,1,failure,True,bednar,zula,8,6,nan
1355,29,"447 wayne turnpike st.\nlake alana, ae 72301",admin.,single,secondary,False,1448,False,False,cellular,10,mar,217,1,184,7,other,False,considine,ashtyn,2,3,water
1374,45,"3404effertzknolls\nkoeppshire,wa78830",self-employed,married,secondary,False,706,False,False,cellular,30,apr,78,2,176,1,success,False,spinka,rossie,4,4,nan
1379,46,"98697reyespike\nnewgarthfort,ks94045-6450",admin.,married,secondary,False,368,False,False,cellular,20,aug,293,1,90,4,other,True,schmidt,rudy,4,8,nan
1380,41,"5773 wilbert roads ave.\nklockohaven, ae 68695",blue-collar,married,secondary,False,121,True,False,cellular,13,may,16,6,176,5,other,False,pfeffer,khalil,4,5,nan
1382,24,"326 abshir3 0v3rpass st.\nlurat0wn, ks 37636-3452",admin.,married,secondary,False,299,True,False,cellular,6,may,209,1,321,1,failure,False,johnston,henry,2,5,nan
1386,50,"9528westrampave.\nwestneomaville,fm00894-7874",services,married,secondary,False,254,True,False,cellular,15,apr,397,2,337,1,failure,False,marquardt,blanca,5,4,nan
1387,25,"3290 rico oval ave.\neast mikayla, me 66546",management,single,tertiary,False,553,True,False,cellular,17,sep,113,4,479,1,failure,False,mertz,loren,2,9,nan
1391,21,"744hillltunn3lst.\nwillisbury,pw15011-2755",services,single,secondary,False,361,False,False,telephone,5,jun,329,1,95,1,other,False,schulist,demario,2,6,relief
1398,34,"723 jeramie plaza apt. 572\npacochamouth, vi 18263",technician,single,secondary,False,341,False,True,cellular,29,jan,136,1,262,3,failure,False,klein,savanah,3,1,nan
1405,37,"8132 leuschke estates suite 205\nlake randi, ks 06114-4141",blue-collar,married,primary,False,37,True,False,cellular,13,may,24,2,362,1,other,False,predovic,chris,3,5,water
1411,35,"07652 makayla riv3r\ngayl0rdb0r0ugh, 0h 50997",blue-collar,single,secondary,False,0,True,False,cellular,16,apr,1174,1,345,4,other,True,hermann,evan,3,4,nan
1421,28,"7329 stamm m0t0rway apt. 749\nlak3 mandyb0r0ugh, ga 07285",admin.,married,secondary,False,-97,True,False,cellular,29,jan,79,1,225,2,success,False,kilback,jailyn,2,1,nan
1424,32,"55091 huel bypass\nnew quincyshire, as 15554-9904",student,single,tertiary,False,0,False,False,cellular,6,aug,101,5,3,6,other,False,mills,kasandra,3,8,nan
1425,36,"2791tremainestationave.\nclarabellebury,ak21594-4364",management,married,tertiary,False,495,False,False,cellular,5,aug,157,3,97,2,success,True,lynch,gage,3,8,nan
1426,38,"1624 haag street ave.\nbartton, ky 79629-5244",entrepreneur,married,secondary,False,157,False,True,cellular,15,may,57,11,366,1,other,False,cole,jordi,3,5,nan
1437,77,"470wuck3rtdriv3suit3204\nlu3ilwitzb3rg,fm75188-7461",retired,married,tertiary,False,0,False,False,cellular,16,oct,847,1,60,1,success,True,orn,cecile,7,10,nan
1442,73,"1430lourdespark\nlizaborough,ok02963",retired,married,primary,False,1388,False,False,cellular,20,jul,146,3,190,3,success,False,armstrong,sydni,7,7,nan
1444,57,"9708 karson trafficway ave.\nnew delta, nd 02460-1604",technician,divorced,primary,False,13,True,False,cellular,8,may,323,2,368,2,failure,False,larson,mohammed,5,5,nan
1457,33,"7678 frami canyon \npiperchester, pa 95769",management,married,tertiary,False,3696,False,False,cellular,19,nov,305,1,182,3,failure,False,harvey,luther,3,11,relief
1468,38,"9925lukastrackave.\nlakejaclyn,ak67162",management,married,tertiary,False,0,True,False,cellular,13,may,537,5,303,2,failure,False,welch,zula,3,5,water
1469,59,"560 wanda f0r3st \nw3st pr3ci0us, in 47425",technician,married,secondary,False,259,False,False,cellular,15,jun,415,1,89,1,success,True,kuhn,ismael,5,6,nan
1471,38,"5865considineferryave.\nnorthjustineton,id98231-6802",technician,single,tertiary,False,744,True,False,cellular,14,may,283,1,288,12,other,False,tillman,zoey,3,5,nan
1478,35,"948 ayana gl3ns st.\nb3rnhardland, wi 43799",technician,single,tertiary,False,7546,True,False,cellular,28,dec,137,1,122,3,failure,False,davis,dale,3,12,nan
1482,39,"0321purdyturnpik3apt.993\nbayl33ch3st3r,ny46518-5989",blue-collar,married,secondary,False,0,True,False,cellular,7,may,502,1,7,2,failure,False,jaskolski,elwin,3,5,nan
1485,29,"932 m03n l0dg3 st.\n3mm3richland, nm 85612-5349",technician,single,secondary,False,113,False,False,cellular,12,feb,328,2,183,4,success,True,koss,hyman,2,2,nan
1510,45,"284 bogisich tunnel st.\nwest reneeland, ar 33530-6029",technician,married,secondary,False,1415,True,False,cellular,17,nov,483,1,116,1,failure,False,macejkovic,gaston,4,11,nan
1518,32,"8859 wolf forks ave.\nwaltermouth, nc 15222",technician,married,secondary,False,286,False,False,cellular,20,apr,60,1,343,4,failure,False,langworth,vernie,3,4,nan
1520,35,"438 cassandr3 0rchard apt. 362\nh0wardburgh, aa 16939",management,married,tertiary,False,93,False,False,cellular,4,may,198,2,88,1,other,False,donnelly,asha,3,5,nan
1521,38,"7060 roob mountain apt. 879\nport bricetown, pa 10337-8863",blue-collar,married,secondary,False,1663,True,False,cellular,13,apr,217,3,327,1,failure,False,anderson,carter,3,4,nan
1524,42,"333 kayl3y gr0v3s \nwalt3rb3rg, ny 30432-1828",blue-collar,married,primary,False,792,True,True,cellular,19,nov,611,2,175,12,other,False,veum,adelia,4,11,nan
1535,37,"71736feilplaza\nsouthmalloryburgh,pa49353",services,married,secondary,False,4760,True,False,cellular,8,may,182,2,169,2,failure,False,erdman,edgardo,3,5,nan
1538,50,"81341dill0nisland\np0rtamaliab3rg,0k23368-1143",blue-collar,divorced,secondary,False,203,True,False,telephone,19,nov,265,1,127,4,other,False,rodriguez,ferne,5,11,nan
1541,43,"5242 lindsey trail ave.\nnikolausville, ap 34207",self-employed,married,secondary,False,634,True,False,cellular,17,nov,65,1,131,1,failure,False,cartwright,karina,4,11,nan
1547,54,"6105 casper loop apt. 427\nnedhaven, nh 69806-2316",entrepreneur,married,tertiary,False,1544,False,True,cellular,5,feb,85,7,196,3,failure,False,mohr,adolphus,5,2,nan
1548,32,"936 carter station apt. 159\nwilkinsonstad, ga 27184",services,single,unknown,False,6145,True,False,cellular,14,may,362,1,287,13,failure,False,tromp,jackie,3,5,nan
1561,54,"7475 cummerata mall ave.\nnorth letha, ak 74393",services,married,unknown,False,386,False,True,cellular,19,nov,74,1,152,1,success,False,roob,webster,5,11,nan
1571,36,"7237 hassan cliff suit3 559\nb0ganp0rt, gu 35173",blue-collar,married,primary,False,49,True,False,cellular,15,may,232,2,365,5,other,False,funk,amani,3,5,nan
1575,34,"684markvistast.\njacobsfort,ak40729",blue-collar,single,primary,False,464,True,False,cellular,18,may,173,1,299,2,other,False,treutel,cade,3,5,nan
1579,37,"73820 quigley heights\nschoenfurt, ms 85404",management,married,tertiary,False,539,False,False,cellular,18,jan,540,2,115,3,failure,False,reynolds,bertram,3,1,nan
1582,46,"718jaunitaforgesuite251\nblandaside,mp18732-2460",blue-collar,married,primary,False,2558,True,False,telephone,20,nov,107,1,167,1,other,False,pollich,marty,4,11,nan
1591,70,"9726nic0lasplainssuit3738\n3mili0shir3,ut54841-6754",retired,married,secondary,False,2815,False,False,cellular,26,apr,125,2,182,1,failure,False,morar,antwan,7,4,flat
1600,32,"4616 abshir3 driv3 \nd0m3nic0land, nv 99198",management,married,secondary,False,6217,True,True,cellular,18,nov,486,2,181,2,failure,False,ratke,electa,3,11,nan
1603,32,"8657 prohaska rue ave.\nsouth jovanside, az 70897-3138",technician,married,unknown,False,14533,False,False,cellular,31,dec,646,3,198,2,success,False,crist,elfrieda,3,12,nan
1621,55,"6026h3b3rstr3amsuit3893\ns0uthang3lin3,pw54991-3297",self-employed,married,secondary,False,203,True,False,telephone,14,may,9,5,174,12,other,False,thiel,adella,5,5,nan
1625,36,"63589handramp\nlaketaureanburgh,ky81720-2342",services,married,secondary,False,1746,True,False,cellular,7,apr,15,1,316,1,failure,False,ebert,quinn,3,4,water
1628,38,"540 s0phia prairi3 suit3 206\nn3w raul, pa 80356",technician,married,secondary,False,821,True,True,cellular,17,nov,224,2,180,1,failure,False,legros,lesley,3,11,nan
1633,59,"492yesseniacrossingapt.113\nberryshire,pa97758",blue-collar,married,primary,False,699,False,False,cellular,28,jan,98,1,154,6,failure,False,bernhard,mauricio,5,1,nan
1634,42,"0633 andrew cove apt. 356\nsouth ethylborough, ga 19019-9047",unemployed,divorced,secondary,False,759,False,False,cellular,28,jan,97,1,169,3,failure,False,grimes,vaughn,4,1,nan
1635,33,"6437 carolina junction \nlake rowland, me 86745-3438",blue-collar,married,secondary,False,687,True,False,cellular,14,may,72,2,370,1,failure,False,hackett,kyle,3,5,water
1636,53,"76957 beer shoal\nsaraiport, nc 69301",retired,married,secondary,False,4968,False,False,cellular,6,may,109,1,87,2,failure,False,gulgowski,eldora,5,5,nan
1650,36,"1898 micah turnpike ave.\neast mac, nd 39246-0766",admin.,divorced,secondary,False,356,True,False,cellular,7,apr,244,3,313,1,failure,False,barton,althea,3,4,nan
1653,53,"4560aftonroadave.\nsouthjadyn,wi68211",blue-collar,married,primary,False,306,False,False,cellular,28,jul,388,3,181,1,success,True,nitzsche,aletha,5,7,nan
1658,47,"836 h3gmann summit suit3 471\nbru3nm0uth, mp 84883",blue-collar,married,primary,False,556,True,False,cellular,4,feb,147,2,264,4,other,False,jast,brown,4,2,nan
1666,32,"7945 hoppe way suite 478\nmoenport, fl 79475",management,married,tertiary,False,4761,True,False,cellular,5,may,159,2,350,2,failure,False,orn,foster,3,5,nan
1676,40,"734 abelardo bypass suite 267\nwest marianshire, ut 95048-4565",admin.,married,secondary,False,168,True,False,cellular,7,may,249,2,169,1,failure,False,orn,constance,4,5,nan
